202,Bhadora Indus,2025-08-04,103,80,55.62,43.2,-22.3
203,FlySBS Aviation,2025-08-01,225,528.7,102.53,240.93,135
204,Cash UR Drive,2025-07-31,123,125,57.51,58.45,1.6
205,Renol Polychem,2025-07-31,105,142,25.77,34.85,35.2
206,B.D. Industries,2025-07-30,108,108.15,45.36,45.42,.1
207,Sri Lotus Devel,2025-07-30,150,160.25,792.21,846.34,6.8
208,Takyon Networks,2025-07-30,54,50,20.48,18.96,-7.4
209,NSDL,2025-07-30,800,1062.8,4011.6,5329.41,32.8
210,M&B Engineering,2025-07-30,385,377.2,650,636.83,-2
211,Mehul Colours,2025-07-30,72,78,21.66,23.46,8.3
212,Aditya Infotech,2025-07-29,675,1415,1300.59,2726.41,109.6
213,Kaytex Fabrics,2025-07-29,180,71,69.81,27.54,-60.6
214,Laxmi India Fin,2025-07-29,158,127.75,254.26,205.58,-19.1
215,Repono,2025-07-28,96,69.7,26.68,19.37,-27.4
216,Umiya Mobile,2025-07-28,66,66.5,24.88,25.07,.8
217,Patel Chem Spec,2025-07-25,84,84.65,58.8,59.26,.8
218,Shanti Gold,2025-07-25,199,191.35,360.11,346.27,-3.8
219,Sellowrap Indus,2025-07-25,83,79,30.28,28.82,-4.8
220,Brigade Hotel,2025-07-24,90,68.17,759.86,575.55,-24.3
221,Shree Refrigera,2025-07-24,125,192.75,117.33,180.92,54.2
222,TSC India,2025-07-23,70,47,25.89,17.38,-32.9
223,GNG Electronics,2025-07-23,237,307,460.43,596.43,29.5
224,Indiqube Spaces,2025-07-23,237,206.9,700.15,611.23,-12.7
225,Monarch Survey,2025-07-22,250,211,93.75,79.13,-15.6
226,Savy Infra Logi,2025-07-21,120,164.25,69.98,95.79,36.9
227,Swastika Castal,2025-07-21,65,68,14.07,14.72,4.6
228,Monika Alcobev,2025-07-16,286,294,165.63,170.26,2.8
229,Spunweb Nonwove,2025-07-14,96,138.65,60.98,88.06,44.4
230,Anthem Bioscien,2025-07-14,570,642.25,3395.79,3826.22,12.7
231,Smartworks Cowo,2025-07-10,407,492.15,582.93,704.89,20.9
232,CFF Fluid Cont,2025-07-09,585,593,87.75,88.95,1.4
233,Asston Pharma,2025-07-09,123,87.5,27.56,19.61,-28.8
234,GLEN Industries,2025-07-08,97,95.6,63.02,62.11,-1.4
235,Chemkart India,2025-07-07,248,124.1,80.08,40.07,-50
236,Travel Food Ser,2025-07-07,1100,1175,2000.42,2136.81,6.8
237,Smarten Power,2025-07-07,100,75.75,50,37.88,-24.2
238,Meta Infotech,2025-07-04,161,114,80.18,56.77,-29.2
239,Cryogenic OGS,2025-07-03,47,178,17.77,67.28,278.6
240,Happy Square,2025-07-03,76,68.95,24.25,22,-9.3
241,Crizac,2025-07-02,245,275.65,860,967.59,12.5
242,Silky Overseas,2025-06-30,161,143.5,30.68,27.35,-10.9
243,Vandan Foods,2025-06-30,115,48,30.36,12.67,-58.3
244,Pushpa Jeweller,2025-06-30,147,102,98.65,68.45,-30.6
245,Cedaar Textile,2025-06-30,140,59.6,60.9,25.93,-57.4
246,Marc Loire Fash,2025-06-30,100,44.05,21,9.25,-56
247,Neetu Yoshi,2025-06-27,75,103,77.04,105.8,37.3
248,Adcounty Media,2025-06-27,85,108.2,50.69,64.52,27.3
249,Indogulf Crop,2025-06-26,111,80.5,200.66,145.52,-27.5
250,Ace Alpha Tech,2025-06-26,69,92.05,32.22,42.99,33.4
251,Valencia India,2025-06-26,110,20.58,48.95,9.16,-81.3
252,Moving Media,2025-06-26,70,49,43.4,30.38,-30
253,PRO FX Tech,2025-06-26,87,74.55,40.3,34.53,-14.3
254,Sambhv Steel,2025-06-25,82,94.69,540.13,623.72,15.5
255,Supertech EV,2025-06-25,92,74.3,29.9,24.14,-19.3
256,Rama Telecom,2025-06-25,68,63.5,25.13,23.47,-6.6
257,HDB Financial,2025-06-25,740,766.4,12500,12945.95,3.6
258,Suntech Infra,2025-06-25,86,40.65,44.39,20.98,-52.7
259,Ellenbarrie Ind,2025-06-24,400,321,852.53,684.15,-19.8
260,Globe Civil Pro,2025-06-24,71,58.33,119,97.76,-17.8
261,Kalpataru,2025-06-24,414,369.8,1591.61,1421.68,-10.7
262,Icon Facilitato,2025-06-24,91,50.3,19.11,10.56,-44.7
263,Shri Hare-Krish,2025-06-24,59,55.1,29.91,27.94,-6.6
264,Abram Food,2025-06-24,98,127.45,13.99,18.2,30.1
265,AJC Jewel Manu,2025-06-23,95,90,15.39,14.58,-5.3
266,Safe Ent Retail,2025-06-20,138,266,169.74,327.18,92.8
267,Aakaar Medical,2025-06-20,72,69.85,27,26.2,-3
268,Mayasheel Ventu,2025-06-20,47,61.9,27.28,35.93,31.7
269,Arisinfra Solut,2025-06-18,222,126.5,499.6,284.68,-43
270,Influx Health,2025-06-18,96,227,58.57,138.49,136.5
271,Eppeltone Engin,2025-06-17,128,182.7,43.96,62.74,42.7
272,Patel Automatio,2025-06-16,120,176.3,69.61,102.27,46.9
273,Samay Project,2025-06-16,34,45.3,14.69,19.57,33.2
274,Oswal Pumps,2025-06-13,614,505.25,1387.34,1141.62,-17.7
275,Aten Papers,2025-06-13,96,24.3,31.68,8.02,-74.7
276,Monolithisch,2025-06-12,143,486.25,82.02,278.91,240.1
277,Jainik Power,2025-06-10,110,127.5,51.3,59.46,15.9
278,Sacheerome,2025-06-09,102,410.05,61.62,247.7,302
279,Ganga Bath Fit,2025-06-04,49,20.2,32.65,13.46,-58.8
280,3B Films,2025-05-30,50,26.5,33.75,17.89,-47
281,Scoda Tubes,2025-05-28,140,160,220,251.43,14.3
282,Neptune Petroch,2025-05-28,122,200,73.2,120,63.9
283,NR Vandana Tex,2025-05-28,45,57.7,27.89,35.76,28.2
284,Prostarm Info,2025-05-27,105,179.3,168,286.88,70.8
285,Blue Water Logi,2025-05-27,135,150.3,40.5,45.09,11.3
286,Astonea Labs,2025-05-27,135,160,37.67,44.64,18.5
287,Nikita Greentech,2025-05-27,104,137.9,67.54,89.56,32.6
288,Leela Palaces,2025-05-26,435,418.6,3500,3368.05,-3.8
289,Aegis Vopak,2025-05-26,235,239.5,2800,2853.62,1.9
290,Unified Data,2025-05-22,273,360,144.47,190.51,31.9
291,Dar Credit Cap,2025-05-21,60,51.15,25.66,21.87,-14.8
292,Belrise Indust,2025-05-21,90,183.3,2150,4378.83,103.7
293,Borana Weaves,2025-05-20,216,307.45,144.89,206.24,42.3
294,Accretion Pharm,2025-05-14,101,83.05,29.75,24.47,-17.7
295,Integrity Infra,2025-05-13,100,136.75,12,16.41,36.8
296,Virtual Galaxy,2025-05-09,142,151.35,93.29,99.44,6.6
297,Srigee DLM,2025-05-05,99,83.01,16.98,14.23,-16.2
298,Manoj Jewellers,2025-05-05,54,50.9,16.2,15.27,-5.7
299,Kenrik Indust,2025-04-29,25,10.1,8.75,3.53,-59.7
300,Arunaya Organic,2025-04-29,58,19.2,33.99,11.25,-66.9
301,Iware Supply,2025-04-28,95,202.2,27.13,57.75,112.9
302,Ather Energy,2025-04-28,321,694.95,2980.76,6453.21,116.5
303,Tankup Engineer,2025-04-23,140,727,19.53,101.42,419.3
304,Infonative Solu,2025-03-28,79,31.52,24.71,9.86,-60.1
305,Spinaroo Commer,2025-03-28,51,34.88,10.17,6.96,-31.6
306,Retaggio Ind,2025-03-27,25,37,15.5,22.93,47.9
307,Identixweb,2025-03-26,54,70.99,16.63,21.86,31.4
308,Shri Ahimsa Nat,2025-03-25,119,239.55,73.81,148.59,101.3
309,ATC Energies,2025-03-25,118,35.5,63.76,19.18,-69.9
310,Desco Infratech,2025-03-24,150,184,30.75,37.72,22.7
311,Active Infra,2025-03-21,181,171,77.83,73.53,-5.5
312,Rapid Fleet Man,2025-03-21,192,190,43.87,43.41,-1
313,Grand Continent,2025-03-20,113,157.6,74.46,103.85,39.5
314,Paradeep Pariva,2025-03-17,98,162.9,44.86,74.58,66.3
315,Divine Hira Jew,2025-03-17,90,247.75,31.84,87.64,175.3
316,Super Iron Foun,2025-03-11,108,40.79,68.05,25.7,-62.2
317,PDP Shipping,2025-03-10,135,60,12.65,5.62,-55.6
318,NAPS Global,2025-03-04,90,50.98,11.88,6.73,-43.4
319,Balaji Phosphat,2025-02-28,70,137.65,50.11,98.53,96.6
320,Shreenath Paper,2025-02-25,44,18,23.36,9.56,-59.1
321,Nukleus Office,2025-02-24,234,199,31.7,26.96,-15
322,Beezaasan Explo,2025-02-21,175,213.75,59.93,73.21,22.2
323,Swasth Foodtech,2025-02-20,94,25,14.92,3.97,-73.4
324,HP Telecom,2025-02-20,108,283.95,34.23,89.99,162.9
325,Quality Power,2025-02-14,425,810.9,858.7,1638.39,90.8
326,Tejas Cargo,2025-02-14,160,300.05,100.8,189.03,87.5
327,Royal Arc Elect,2025-02-14,120,165,36,49.5,37.5
328,L.K.Mehta Poly,2025-02-13,71,42.51,7.38,4.42,-40.1
329,Shanmuga Hospit,2025-02-13,54,46.99,20.62,17.94,-13
330,Hexaware Tech,2025-02-12,708,739.45,8759.41,9148.51,4.4
331,Maxvolt Energy,2025-02-12,180,471.3,54,141.39,161.8
332,Voler Car,2025-02-12,90,204,27,61.2,126.7
333,P S Raj Steels,2025-02-12,140,299,28.28,60.4,113.6
334,Icodex Publish,2025-02-11,102,47.05,42.03,19.39,-53.9
335,Ajax Engg,2025-02-10,629,608.8,1269.35,1228.59,-3.2
336,Chandan Health,2025-02-10,159,306.75,107.36,207.12,92.9
337,Solarium Green,2025-02-06,191,226,105.04,124.29,18.3
338,Readymix Const,2025-02-06,123,116,37.66,35.52,-5.7
339,Amwill Health,2025-02-05,111,48.6,59.98,26.26,-56.2
340,Ken Enterprises,2025-02-05,94,44.7,83.65,39.78,-52.4
341,Chamunda Electr,2025-02-04,50,49.3,14.6,14.39,-1.4
342,Malpani Pipes,2025-01-29,90,67.3,25.92,19.38,-25.2
343,Dr Agarwals Hea,2025-01-29,402,513.35,3027.26,3865.78,27.7
344,GB Logistics,2025-01-24,102,48.5,25.07,11.92,-52.5
345,H.M. Electro,2025-01-24,75,54.04,27.74,19.99,-27.9
346,CLN Energy,2025-01-23,250,398.5,72.3,115.25,59.4
347,Rexpro Enterpri,2025-01-22,145,55,53.65,20.35,-62.1
348,Denta Water,2025-01-22,294,335.85,220.5,251.89,14.2
349,CapitalNumbers,2025-01-20,263,108,169.37,69.55,-58.9
350,EMA Partners,2025-01-17,124,95,76.01,58.24,-23.4
351,Stallion India,2025-01-16,90,234.2,199.45,519.02,160.2
352,Landmark Global,2025-01-16,72,51.58,40.32,28.88,-28.4
353,Kabra Jewels,2025-01-15,128,91.55,40,28.61,-28.5
354,Rikhav Securiti,2025-01-15,86,55.18,88.82,56.99,-35.8
355,Laxmi Dental,2025-01-13,428,259.55,698.06,423.32,-39.4
356,Sat Kartar Shop,2025-01-10,81,146.85,33.8,61.28,81.3
357,Barflex Polyfil,2025-01-10,60,73.95,39.41,48.57,23.2
358,Eleganz Interio,2025-01-07,130,88,78.07,52.84,-32.3
359,Delta Autocorp,2025-01-07,130,49.55,54.6,20.81,-61.9
360,Avax Apparels,2025-01-07,70,192.85,1.92,5.28,175
361,BR Goyal Infra,2025-01-07,135,116.3,85.21,73.41,-13.8
