ISIN,CO_NAME,IBR_NAME,ISS_OPEN,ISS_CLOSE,ALLOTMENT_DATE,REFUND_DT,DEMAT_DT,TRADING_DT,HIGH,LOW,OFF_PRICE,FACE_VALUE,ISS_AMT,ISS_QTY,LISTED_PR,LISTED_GAIN,LISTED_DT,MKT_LOT,SUBS_TIMES,EXCH,ISS_TYPE,OFFER_TYPE,OFFER_OBJECTIVE,STATE,SIGNED_BY,INDUSTRY,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11,LM12,LM13,LM14,LM15,MKTMKR1,MKTMKR2,MKTMKR3,MKTMKR4,MKTMKR5
INE090501011,SCODA TUBES LTD,Scoda Tubes,28-05-2025,30-05-2025,02-06-2025,03-06-2025,03-06-2025,04-06-2025,140,130,140,10,220,157.14,140,0,04-06-2025,100,41,BSE & NSE,BOOK BUILDING,FRESH,,GUJARAT,JAGRUTKUMAR RAMESHBHAI PATEL,Steel Tubes/Pipes,Monarch,,,,,,,,,,,,,,,,,,,
INE0TE101010,3B FILMS LTD,3B Films,30-05-2025,03-06-2025,04-06-2025,05-06-2025,05-06-2025,06-06-2025,50,,50,10,33.75,67.5,48.5,-3,06-06-2025,3000,1.6,BSE SME,BOOK BUILDING,BOTH,,GUJARAT,ASHOKBHAI BABARIYA,Plastic Films,Nirbhay,,,,,,,,,,,,,,,Giriraj,,,,
INE0BYP01024,OSWAL PUMPS LTD,Oswal Pumps,13-06-2025,17-06-2025,18-06-2025,19-06-2025,19-06-2025,20-06-2025,614,584,614,1,1387.34,225.95,632,2.9,20-06-2025,24,25,BSE & NSE,BOOK BUILDING,BOTH,,HARYANA,VIVEK GUPTA,Engine/Pump/Compres,Nuvama,JM,IIFL,CLSA,Axis,,,,,,,,,,,,,,,
INE0H9P01028,ARISINFRA SOLUTIONS LTD,Arisinfra Solut,18-06-2025,20-06-2025,23-06-2025,24-06-2025,24-06-2025,25-06-2025,222,210,222,2,499.6,225.04,209.1,-5.8,25-06-2025,67,2,BSE & NSE,BOOK BUILDING,FRESH,,,,Soft-Data Analytic,Nuvama,JM,IIFL,,,,,,,,,,,,,,,,,
INE236E01022,ELLENBARRIE INDUSTRIAL GASES LTD,Ellenbarrie Ind,24-06-2025,26-06-2025,27-06-2025,30-06-2025,30-06-2025,01-07-2025,400,380,400,2,852.53,213.13,100,-75,01-07-2025,37,16.1,BSE & NSE,BOOK BUILDING,BOTH,,WEST BENGAL,PADAM KUMAR AGARWAL,Industrial Gas,Motilal Oswal,JM,IIFL,,,,,,,,,,,,,,,,,
INE0ZDY01011,ABRAM FOOD LTD,Abram Food,24-06-2025,26-06-2025,27-06-2025,30-06-2025,30-06-2025,01-07-2025,98,,98,10,13.99,14.28,90.4,-7.8,01-07-2025,1200,,BSE SME,BOOK BUILDING,FRESH,,NEW DELHI,BRIJ BHUSHAN,Flour/Dal Mill,Corporate Makers,,,,,,,,,,,,,,,Giriraj,,,,
INE227J01012,KALPATARU LTD,Kalpataru,24-06-2025,26-06-2025,27-06-2025,30-06-2025,30-06-2025,01-07-2025,414,387,414,10,1591.61,384.45,414.1,0,01-07-2025,36,2.4,BSE & NSE,BOOK BUILDING,FRESH,,MAHARASHTRA,PARAG M. MUNOT,Real Estate-Divers,Nomura,JM,ICICI,,,,,,,,,,,,,,,,,
INE0V3U01015,GLOBE CIVIL PROJECTS LTD,Globe Civil Pro,24-06-2025,26-06-2025,27-06-2025,30-06-2025,30-06-2025,01-07-2025,71,67,71,10,119,167.61,91.1,28.3,01-07-2025,211,60.8,BSE & NSE,BOOK BUILDING,FRESH,,NEW DELHI,NIPUN KHURANA,Realty-Commercial,Mefcom,,,,,,,,,,,,,,,,,,,
INE0XRR01010,AJC JEWEL MANUFACTURERS LTD,AJC Jewel Manu,23-06-2025,26-06-2025,27-06-2025,30-06-2025,30-06-2025,01-07-2025,95,90,95,10,15.39,16.2,99,4.2,01-07-2025,2400,2.8,BSE SME,BOOK BUILDING,FRESH,,KERALA,ASHRAF P,Jewellery-Wholesale,Smart Horizon Capital,,,,,,,,,,,,,,,Rikhav,,,,
INE0Y0E01012,ICON FACILITATORS LTD,Icon Facilitato,24-06-2025,26-06-2025,27-06-2025,30-06-2025,30-06-2025,01-06-2025,91,85,91,10,19.11,21,90,-1.1,01-07-2025,1200,2.4,BSE SME,BOOK BUILDING,FRESH,,NEW DELHI,DINESH MAKHIJA,Facility Management,Khambatta,,,,,,,,,,,,,,,Nikunj,,,,
