320,INE054A01027,,,,,,,,,
321,INE054C01015,,,,,,Y,,,
322,INE055A01016,,,,,N,,,,
323,INE055C01020,,,,,,Y,,,
324,INE055E01034,,,,,,Y,Y,Y,
325,INE055S01018,,,,,N,,,,
326,INE056001014,,,,,Y,Y,Y,Y,Y
327,INE056801025,,,,,,,,,
328,INE056E01024,,,,,,Y,,,
329,INE056I01025,,,,,N,,,,
330,INE057Q01018,,,,,,,,,
331,INE058A01010,,,,,,Y,,,
332,INE058B01018,,,,,N,,,,
333,INE058D01030,,,,,,,,,
334,INE058F01019,,,,,,Y,Y,,
335,INE058I01013,,,,,,Y,,,
336,INE059A01026,,,,,,Y,Y,,
337,INE059B01024,,,,,,Y,,,
338,INE059D01020,,,,,N,,,,
339,INE059E01010,,,,,,,,,
340,INE059Q01014,,,,,,Y,,,
341,INE05AN01011,,,,,,,,,
342,INE05BN01019,,,,,,,,,
343,INE05CZ01011,,,,,,Y,,,
344,INE05DH01017,,,,,,Y,,,
345,INE05FR01029,,,,,N,,,,
346,INE05J901018,,,,,,,,,
347,INE05MV01019,,,,,N,,,,
348,INE05QJ01015,,,,,,Y,,,
349,INE05ST01028,,,,,,,,,
350,INE060601031,,,,,,,,,
351,INE060901027,,,,,,,,,
352,INE060A01024,,,,,,Y,Y,,
353,INE060B01014,,,,,,Y,,,
354,INE060D01028,,,,,,,,,
355,INE060E01018,,,,,N,,,,
356,INE060J01017,N,,,,N,,,,
357,INE060T01024,,,,,,,,,
358,INE060X01034,,,,,,Y,,,
359,INE061A01014,,,,,,,,,
360,INE061F01013,,,,Y,,Y,Y,,
361,INE062A01020,Y,,,Y,Y,Y,Y,Y,Y
362,INE062C01034,,,,,N,,,,
363,INE062D01024,,,,,,,,,
364,INE062Y01020,,,,,N,,,,
365,INE063601012,,,Y,,,Y,Y,,
366,INE063E01053,,,,,Y,Y,Y,Y,Y
367,INE063P01018,,,,,,Y,Y,Y,
368,INE063Z01017,,,,,N,,,,
369,INE064A01026,,,,,,,,,
370,INE064C01022,,,,,N,,,,
371,INE064H01021,,,,,,,,,
372,INE064L01015,,,,,,Y,Y,,
373,INE064R01012,,,,,,Y,Y,,
374,INE064T01018,,,,,,Y,,,
375,INE065D01027,,,,,,Y,Y,,
376,INE065E01017,,,,,,,,,
377,INE065J01024,,,,,,Y,Y,,
378,INE065X01017,,,,,,Y,,,
379,INE066A01021,Y,,,,Y,Y,Y,Y,Y
380,INE066F01020,,,,,,Y,Y,,
381,INE066O01014,,,,,,Y,,,
382,INE066P01011,,,,,N,,,,
383,INE067901012,,,,,,Y,,,
384,INE067A01029,,,,,,,,,
385,INE067C01025,,,,,,,,,
386,INE067E01013,,,,,,Y,,,
387,INE068B01017,,,,,N,,,,
388,INE068C01015,,,,,N,,,,
389,INE068L01024,,,,,,,,,
390,INE068V01023,,,,,,,,,
391,INE069B01023,,,,,Y,Y,Y,Y,Y
392,INE069E01019,N,,,,N,,,,
393,INE069I01010,,,,,,Y,,,
394,INE06H201014,,,,,N,,,,
395,INE06HJ01020,,,,,N,,,,
396,INE06IJ01010,,,,,,Y,Y,,
397,INE06IR01021,,,,,N,,,,
398,INE06LG01010,,,,,N,,,,
399,INE06MM01016,,,,,N,,,,
400,INE06PV01010,,,,,N,,,,
401,INE06ST01018,,,,,,,,,
402,INE06TD01010,,,,,N,,,,
403,INE06WU01026,,,,,,Y,,,
404,INE06XZ01023,,,,,,,,,
405,INE06YD01010,,,,,,Y,,,
406,INE06ZD01017,,,,Y,,Y,,,
407,INE06ZX0101,,,,,,,,,
408,INE070A01015,,,,Y,,Y,Y,,
409,INE070C01037,,,,,N,,,,
410,INE070D01027,,,,,,,,,
411,INE070I01018,,,,,,,,,
412,INE070K01014,Y,,,,,Y,Y,Y,
413,INE071A01013,,,,,,Y,Y,,
414,INE071D01033,,,,Y,,Y,Y,,
