Precision Metal,INE0HKW01018,11.85,44.2,10.75,-33.45,-75.7
Paramount Speci,INE0Q6001012,28,78,28,-50,-64.1
Ramdevbaba Solv,INE0RJH01010,89.45,147,88,-59,-40.1
Sattva Engg Con,INE14DW01018,58.95,118.9,58.95,-59.95,-50.4
Shree Karni Fab,INE0S4Y01010,479.95,852.9,470,-382.9,-44.9
ShriKanha Stain,INE1V4601019,24.25,88,24.2,-63.8,-72.5
Shyam Dhani Ind,INE1CRP01016,114.45,139.65,114.45,-25.2,-18
Sintercom,INE129Z01016,99.85,181.85,99,-82.85,-45.6
Sundrex Oil,INE0CTB01014,50.65,68.8,50.65,-18.15,-26.4
Studio LSD,INE17VO01028,12.6,43.2,12.6,-30.6,-70.8
TSC India,INE16VK01010,47,79.3,43.1,-36.2,-45.6
V R Infraspace,INE0QQM01017,145,337.05,145,-192.05,-57
Zeal Global Ser,INE0PPS01018,90.05,182.05,89.25,-92.8,-51
