122,5,Diagnostic Services,10,57105,-760.62,-1.3,26458,5,1626,2.9,1108,2,-1131,-1.9,4471,8.5,-192.65,-.3,I61100T61490,61231
123,2,Plastic Pipe/Fitting,17,55548,-243.83,-.4,25408,2,4062,7.9,1316,2.4,-1.1,0,-3422,-5.8,-8200,-12.9,I23300T23390,23330
124,8,Bio Phar-Integrated,2,55164,-539.67,-1,25518,8,-410.84,-.7,-765.34,-1.4,4968,9.9,5738,11.6,8251,17.6,I21500T21592,21570
125,6,Catering Service,2,53772,-342.3,-.6,20229,7,-918.16,-1.7,-356.9,-.7,-3146,-5.5,-8870,-14.2,-8086,-13.1,I61100T61490,61333
126,3,EMS-Diversified,7,52797,-1299,-2.4,26723,3,254.31,.5,-2090,-3.8,-26064,-33.1,-9969,-15.9,-17436,-24.8,I24600T24690,24609
127,6,Auto Transmission,16,52060,-783.08,-1.5,19893,6,1777,3.5,2606,5.3,24168,86.6,24586,89.5,23958,85.2,I24200T24290,24240
128,6,Tractors/Tillers,4,52019,-314.52,-.6,16814,7,2527,5.1,3037,6.2,4506,9.5,8164,18.6,8109,18.5,I24000T24190,24150
129,1,Logistics Integrated,13,51277,-28.16,-.1,24028,2,812.32,1.6,1595,3.2,-889.61,-1.7,-6393,-11.1,-10049,-16.4,I62200T62390,62309
130,3,Metal Machin-Divers,2,50626,-22.29,0,18949,3,1218,2.5,2889,6.1,7950,18.6,8544,20.3,9098,21.9,I24300T24390,24359
131,3,Tele Equipments,5,49056,-177.33,-.4,12736,3,692.23,1.4,1030,2.1,-2332,-4.5,-3777,-7.1,-29496,-37.5,I53600T53890,53710
132,8,NBFC-Budget Hsg,6,48516,-186.7,-.4,32852,8,-332.62,-.7,-584.64,-1.2,-5357,-9.9,-7280,-13,1429,3,I72000T72190,72121
133,1,Property Rental,23,46940,49.75,.1,13293,4,1189,2.6,1862,4.1,6895,17.2,17955,61.9,33097,239.1,I63000T64990,64021
134,3,Holding Ventures,9,46823,197.72,.4,22249,3,2028,4.5,516.68,1.1,528.9,1.1,-4590,-8.9,7863,20.2,I92010T92013,92010
135,3,Inner Wear,7,46641,-366.24,-.8,24513,3,-748.18,-1.6,-2713,-5.5,-8723,-15.8,-16371,-26,-17904,-27.7,I26100T26790,26714
136,7,Electric 2-3 Wheeler,7,46463,158.84,.3,27568,6,1571,3.5,4212,10,-517.08,-1.1,17735,61.7,10820,30.4,I24000T24190,24111
137,4,Rating Services,3,45293,1559,3.6,19427,4,3852,9.3,2101,4.9,1244,2.8,-9848,-17.9,-8067,-15.1,I62100T62190,62181
138,8,Soft-Data Analytic,7,44151,-338.88,-.8,23713,9,99.22,.2,300.92,.7,6558,17.4,6877,18.5,5244,13.5,I53000T53390,53380
139,1,Consumer Healthcare,8,44038,376.33,.9,14521,1,2607,6.3,345.05,.8,-1274,-2.8,-3916,-8.2,1591,3.7,I22000T22090,22050
140,8,Power T&D Infra,6,44010,-597.67,-1.3,25726,9,584.23,1.3,677.55,1.6,-6001,-12,-5575,-11.2,-12890,-22.7,I51000T51910,51211
