51,,51,LTIMindtree,176949,-2224,-1.2,55668,90,-2445,-1.4,-9015,-4.8,20764,13.3,19850,12.6,7323,4.3,5978,6053.15,-75.15,-1.2,6024.1,6068.15,5969.75,5980.2,364,2184,31991,INE214T01019,I53000T53390,53210,Software-Integrated,5,588,L & T,2,LTIMINDTREE LTD,540005,LTIM,0,21.4,30.3,164.45,200.88,36.4,29.8,6500,1.1,0
52,,52,Divi's Lab,176071,7664,4.6,84708,52,5796,3.4,4663,2.7,21603,14,-7429,-4,20067,12.9,6644.2,6355,289.2,4.6,6380.35,6656.65,6380.35,6644.2,749,4927,62496,INE361B01024,I21500T21592,21503,CRAMS-API,1,,,3,DIVI'S LABORATORIES LTD,532488,DIVISLAB,0,16.6,22.4,93.77,103.55,70.9,64.2,1500,0.5,0
53,,53,DLF,174769,-1349,-0.8,45300,106,6188,3.7,-3602,-2,-7166,-3.9,-31894,-15.4,-24691,-12.4,706.05,711.5,-5.45,-0.8,715,715,703,706.05,2506,1778,35644,INE271C01023,I51000T51910,51390,Real Estate-Divers,1,102,DLF - SINGH,1,DLF LTD,532868,DLF,0,7.3,6.9,12.59,11.46,56.1,61.6,300,0.9,0.09
54,,54,Varun Beverages,168929,3703,2.2,68518,69,5107,3.1,6747,4.2,20530,13.8,14614,9.5,-35912,-17.5,499.5,488.55,10.95,2.2,487,502,483.6,499.5,8368,4112,69424,INE200M01039,I11200T12390,12150,Beverages/Water,1,1562,RJ CORP-JAIPURIA,1,VARUN BEVERAGES LTD,540180,VBL,0,17.9,21.8,8.78,12.47,56.9,40.1,87.5,0.4,0.13
55,,55,Adani Green,167772,-1960,-1.2,63032,78,1425,0.9,370.58,0.2,-21.46,0,9815,6.2,12072,7.8,1018.65,1030.55,-11.9,-1.2,1028.65,1034.25,1012.9,1018.65,1015,1039,25503,INE364U01010,I52100T52390,52170,Power-Solar,1,477,ADANI-GAUTAM,4,ADANI GREEN ENERGY LTD,541450,ADANIGREEN,0,18.3,8.9,13.5,29.95,75.5,34,0,0,4.14
56,,56,HDFC Life Insur,167356,3439,2.1,83259,54,7288,4.6,1692,1,2780,1.7,-1460,-0.9,36910,28.3,776.2,760.25,15.95,2.1,751.15,779.95,751.15,777.65,2960,2293,82261,INE795G01014,I72200T72290,72211,Life Insurance,3,141,HDFC,2,HDFC LIFE INSURANCE COMPANY LTD,540777,HDFCLIFE,1,11.7,10.3,8.78,8.78,88.4,88.4,0,0,0.18
57,,57,IRFC,166231,-392.05,-0.2,22674,181,3398,2.1,16466,11,2614,1.6,-15748,-8.7,-23850,-12.5,127.2,127.5,-0.3,-0.2,127.75,129.75,125.95,127.2,15620,1993,68306,INE053F01010,I71000T71310,71220,Fin Institution-Cent,1,1.3,RAILWAY MINISTRY,1,INDIAN RAILWAY FINANCE CORPORATION LTD,543257,IRFC,0,13,12.3,5.23,5.23,24.3,24.3,0,0,2.91
58,,58,Tata Motors,159315,2265,1.4,91510,45,8451,5.6,26954,20.4,,,,,,,432.65,426.5,6.15,1.4,429.05,438.75,427.4,432.65,9274,4002,131008,INE1TAE01010,I24000T24190,24140,LCV/MCV/HCV/Bus,2,395,TATA,4,TATA MOTORS LTD,544569,TMCV,0,0,0,0,0,0,0,0,0,
59,,59,BPCL,158513,-2969,-1.8,74533,64,854.52,0.5,4529,2.9,11750,8,10553,7.1,36872,30.3,371,377.95,-6.95,-1.8,377.95,377.95,364,371,7210,2663,79276,INE029A01011,I32200T32290,32210,Refineries,3,1.19,PETROLEUM & NATURAL GAS MINISTRY,3,BHARAT PETROLEUM CORPORATION LTD,500547,BPCL,0,24.1,22.8,45.85,64.46,8.1,5.8,100,2.6,0.54
60,,60,BOB,158022,-802.53,-0.5,56935,87,6265,4.1,6524,4.3,20038,14.5,33370,26.8,40049,33.9,305.2,306.75,-1.55,-0.5,307.5,308.45,302.45,305.2,9515,2908,82185,INE028A01039,I71000T71310,71210,Bank-PSU-Listed,2,1.1,FINANCE MINISTRY,4,BANK OF BARODA,532134,BANKBARODA,0,13.1,17.5,37.15,37.15,8.2,8.2,0,0,10.27
61,,61,Muthoot Fin,157982,509.86,0.3,42102,117,5739,3.8,5825,3.8,28709,22.2,50951,47.6,70204,80,3935.1,3922.4,12.7,0.3,3936.75,3994.75,3915.95,3941.4,643,2541,79856,INE414G01012,I72000T72190,72181,NBFC-Gold Loan,1,1497,MUTHOOT-GEORGE,1,MUTHOOT FINANCE LTD,533398,MUTHOOTFIN,0,24,17.7,175.68,177.31,22.4,22.2,0,0,2.29
62,,62,Tech Mahindra,156496,-240,-0.2,101754,39,-1381,-0.9,3007,2,15741,11.2,-5533,-3.4,-8424,-5.1,1597.55,1600,-2.45,-0.2,1580.8,1623.15,1580.8,1600.85,582,935,37502,INE669C01036,I53000T53390,53210,Software-Integrated,6,219,MAHINDRA,2,TECH MAHINDRA LTD,532755,TECHM,1,16.3,22.8,45.59,60.38,35,26.5,900,2.8,0.02
63,,63,Pidilite Ind,152803,-167.92,-0.1,46865,103,4402,3,2951,2,1306,0.9,-4230,-2.7,5512,3.7,1501.45,1503.1,-1.65,-0.1,1505.3,1508.95,1490.6,1504.75,401,602,35795,INE318A01026,I21100T21490,21310,Bonding Agents,1,1292,PAREKH (FEVICOL),1,PIDILITE INDUSTRIES LTD,500331,PIDILITIND,0,23.1,31.4,22.13,25.96,67.9,57.8,2000,1.3,0.02
64,,64,Cholaman Invest,151515,2104,1.4,75939,63,7786,5.4,5724,3.9,13143,9.5,23102,18,42785,39.3,1800,1775,25,1.4,1773.4,1831.8,1773.4,1805.4,1844,3340,76152,INE121A01024,I72000T72190,72190,NBFC-Diversified,1,253,MURUGAPPA,1,CHOLAMANDALAM INVESTMENT & FIN.COMPANY LTD,511243,CHOLAFIN,0,15.7,12,44.17,44.14,40.8,40.8,100,0.1,5.16
65,,65,Britannia,147584,902.17,0.6,72980,65,3044,2.1,4223,2.9,2562,1.8,8525,6.1,32159,27.9,6126.35,6088.9,37.45,0.6,6077.35,6140,5948.25,6126.35,306,1853,38184,INE216A01030,I22100T22190,22160,Consumer Branded ,2,438,WADIA-NUSLI,1,BRITANNIA INDUSTRIES LTD,500825,BRITANNIA,0,53.5,58.5,96.8,110.64,63.3,55.4,7500,1.2,0.33
